x,y,theta,v_cmd,w_cmd,dist_to_goal
6.835384679783487627e+00,2.144298156528732235e+00,2.253137181572360426e+00,4.999999999999998335e-01,-5.000000000000000000e-01,5.970391354318057786e+00
6.834432206995205483e+00,2.149478255693274331e+00,2.229623345726376993e+00,4.999999999999998335e-01,-4.165770175581267609e-01,5.965496874586045273e+00
6.829457955064270003e+00,2.169680137168978451e+00,2.174459606366810682e+00,4.999999999999998335e-01,-4.500000000000000111e-01,5.946662793692296667e+00
6.819228329292168489e+00,2.203216748949754944e+00,2.118513179358764820e+00,4.623365696066119024e-01,-4.000000000000000222e-01,5.915819283751221569e+00
6.801182712332368929e+00,2.244753247072820646e+00,2.069717099408207250e+00,4.931990356622354410e-01,-3.748029001750922684e-01,5.878777770616067322e+00
6.780122568345746892e+00,2.288289352837466151e+00,2.032013020538811165e+00,4.530630694214703991e-01,-3.500000000000000333e-01,5.840525615487806910e+00
6.757179319234746906e+00,2.330275288165230219e+00,1.998413317960769708e+00,4.766616753320179201e-01,-3.500000000000000333e-01,5.804341612321561428e+00
6.737224710408916906e+00,2.374888322263470908e+00,1.969382392696034767e+00,4.790185188011390482e-01,-3.230469718722590589e-01,5.765109089948750487e+00
6.718398249343013440e+00,2.419758284105455903e+00,1.940546417652729394e+00,4.794000764063094389e-01,-3.383818284242409158e-01,5.725521867489176131e+00
6.701124855235225830e+00,2.465005403677049234e+00,1.911351117187172433e+00,4.820298826617017696e-01,-3.000000000000000444e-01,5.685353271610479986e+00
6.685010903409984273e+00,2.510136393340507421e+00,1.880279068061355252e+00,4.815994653926198299e-01,-2.999393637128202061e-01,5.645157105331524150e+00
6.670452973984216882e+00,2.555765940374110645e+00,1.852279757546056560e+00,4.830293090604295125e-01,-2.891416100269143530e-01,5.604228741796502433e+00
6.657465403691789518e+00,2.602126293581046745e+00,1.825862604840726933e+00,4.696352828149685243e-01,-2.945385556631161528e-01,5.562323227998668962e+00
6.645567760367245391e+00,2.647051637660050361e+00,1.801675005608808666e+00,4.644159350726599356e-01,-2.378640249360650660e-01,5.521643130593877125e+00
6.634484614038091088e+00,2.692602523789072944e+00,1.778362297004837167e+00,4.799359302980395481e-01,-2.500000000000000555e-01,5.480246366705498140e+00
6.624926730839058919e+00,2.739790456021864440e+00,1.753456276984830975e+00,4.535959965333077881e-01,-2.500000000000000555e-01,5.436968911270287919e+00
6.615612783919054607e+00,2.785731189990783285e+00,1.727288338449223248e+00,4.567268868408281834e-01,-2.483101217944159167e-01,5.394916791488380881e+00
6.608461576687062689e+00,2.831236179107917028e+00,1.702402558137723787e+00,4.699797836589755806e-01,-2.000000000000000666e-01,5.352802875103769509e+00
6.602854852041168954e+00,2.876577598081695442e+00,1.679556065928217823e+00,4.799842074955961713e-01,-2.000000000000000666e-01,5.310505783156933113e+00
6.598516351584168049e+00,2.923542251311958662e+00,1.660485748412734663e+00,4.708603398643213533e-01,-2.000000000000000666e-01,5.266363042080540069e+00
6.594408918632617578e+00,2.970346179690778410e+00,1.641366576548484835e+00,4.770038963502934992e-01,-1.801439309225573715e-01,5.222365732134304217e+00
6.590894020265891662e+00,3.017582820749993733e+00,1.622938891116488591e+00,4.652358779409158096e-01,-1.841544188628994050e-01,5.177843239246241680e+00
6.588443688336673709e+00,3.063815633129501226e+00,1.605762207996417779e+00,4.592361850764130615e-01,-1.500000000000000777e-01,5.134043954304762458e+00
6.586749367342006778e+00,3.109586130638081425e+00,1.592051396766485993e+00,4.993983559813980899e-01,-1.500000000000000777e-01,5.090523073747493576e+00
6.586568965364380190e+00,3.157195763114504228e+00,1.577573840951155493e+00,4.882707460662666366e-01,-1.500000000000000777e-01,5.044852838930707684e+00
6.586413869492662165e+00,3.205536060423472833e+00,1.562958966719875553e+00,4.746713824772276213e-01,-1.500000000000000777e-01,4.998510799854530617e+00
6.586638900165259436e+00,3.253156364505605413e+00,1.548788862347021844e+00,4.575799323417533704e-01,-1.267466264652303276e-01,4.952788517427300086e+00
6.587327579509342002e+00,3.298540749906804237e+00,1.535375923784044083e+00,4.508732231511472510e-01,-1.391015702107152863e-01,4.909110148275531493e+00
6.588967094584581297e+00,3.342855865455755193e+00,1.520963646304185568e+00,4.940297070712921235e-01,-1.500000000000000777e-01,4.866210573956386121e+00
