#{"t_start": 1777307117.7479572, "env_id": "None"}
r,l,t
38.0,63,11.716918
-166.0,67,12.215502
33.0,68,12.333926
-179.0,80,13.846775
-181.0,82,14.124931
19.0,82,14.124983
15.0,86,14.599178
-198.0,99,16.030643
-150.0,101,16.281966
-150.0,101,16.282016
-150.0,101,16.282032
-150.0,101,16.282037
-150.0,101,16.282043
-150.0,101,16.282059
-150.0,101,16.282064
-151.0,52,21.825502
-150.0,101,23.203465
-150.0,101,23.70584
-150.0,101,23.837105
-150.0,101,25.36298
-150.0,101,25.617836
-150.0,101,25.617882
-183.0,84,25.859088
-150.0,101,26.093312
-150.0,101,27.540077
-150.0,101,27.778104
-150.0,101,27.778163
-150.0,101,27.778172
-150.0,101,27.778177
-150.0,101,27.778182
-104.0,5,28.272295
-172.0,73,30.308483
-163.0,64,32.643705
-150.0,101,35.126753
-181.0,82,35.392745
-150.0,101,36.317821
-150.0,101,36.757487
-190.0,91,38.425743
-150.0,101,42.489366
-150.0,101,44.115323
-186.0,87,46.763722
-197.0,98,49.34078
-150.0,101,49.791826
-150.0,101,50.682518
-150.0,101,50.682585
-150.0,101,50.682599
-131.0,32,52.00411
-150.0,101,61.02149
-183.0,84,61.805387
-180.0,81,76.876669
-150.0,101,77.334264
-150.0,101,78.162087
-150.0,101,79.085725
-150.0,101,79.525493
-150.0,101,87.239048
-150.0,101,89.717846
-168.0,69,90.962294
-150.0,101,92.206327
-150.0,101,92.622715
-150.0,101,93.514336
-150.0,101,93.514413
-150.0,101,93.514427
-120.0,101,94.865434
-179.0,80,94.865489
-134.0,35,104.698301
-168.0,69,106.519918
-150.0,101,120.964273
-150.0,101,121.900011
-150.0,101,122.794783
-150.0,101,123.234696
-172.0,73,124.490887
-150.0,101,131.282286
-122.0,23,131.282342
-150.0,101,135.173741
-150.0,101,136.375988
-150.0,101,137.724277
-150.0,101,137.724344
-150.0,101,137.724353
-150.0,101,139.175839
-150.0,101,139.175892
-150.0,101,148.653115
-158.0,59,148.653171
-150.0,101,150.450403
11.0,90,161.841609
-150.0,101,165.540813
-120.0,101,168.028107
5.0,96,172.228257
-150.0,101,174.318978
-150.0,101,178.127221
-150.0,101,179.41318
-150.0,101,180.632065
-150.0,101,180.63212
-150.0,101,180.632128
-150.0,101,181.82863
-150.0,101,181.82868
-142.0,43,183.460215
-189.0,90,188.533388
-150.0,101,191.41308
-150.0,101,191.413237
-151.0,52,202.28899
-144.0,45,202.289051
-150.0,101,204.153008
-104.0,5,204.634658
-184.0,85,208.100147
-150.0,101,210.727763
-171.0,72,212.457328
-150.0,101,217.150517
-150.0,101,221.04069
-150.0,101,222.407431
-150.0,101,223.715745
-150.0,101,223.71579
-150.0,101,224.986009
-148.0,49,225.425686
-150.0,101,232.031704
-150.0,101,235.091018
-120.0,101,235.091076
-173.0,74,236.892419
5.0,96,244.140689
-150.0,101,252.070829
-194.0,95,253.882993
-150.0,101,254.758487
-170.0,71,255.997657
-185.0,86,258.61306
-150.0,101,261.40093
-188.0,89,264.482509
-150.0,101,266.777945
-150.0,101,268.09503
-150.0,101,268.095081
-147.0,48,273.539118
-150.0,101,276.464732
-150.0,101,279.579079
-150.0,101,279.57914
-150.0,101,281.365384
-198.0,99,288.608182
-150.0,101,300.930779
-150.0,101,302.052453
-172.0,73,303.125304
-150.0,101,303.630418
-150.0,51,305.029548
-150.0,101,306.236238
-150.0,101,308.669572
-150.0,101,311.764338
-150.0,101,314.05232
-150.0,101,315.496572
-120.0,101,321.485875
-187.0,88,321.978263
-146.0,47,324.007134
-120.0,101,324.969696
-150.0,101,329.553935
-150.0,101,335.614134
-148.0,49,342.619054
-150.0,101,346.335432
-120.0,101,347.991039
-150.0,101,348.445967
-150.0,101,349.740353
-150.0,101,351.121773
-150.0,101,353.712006
-150.0,101,356.705826
-150.0,101,359.071695
-150.0,101,360.39061
-183.0,84,361.246804
-141.0,42,361.24686
-150.0,101,365.928812
-150.0,101,367.502842
-150.0,101,373.11644
-165.0,66,374.73088
-122.0,23,377.411696
-150.0,101,379.673002
-167.0,68,380.47792
-172.0,73,388.637198
-150.0,101,392.074689
-150.0,101,392.531676
-120.0,101,393.888789
-150.0,101,397.926314
-150.0,101,403.438366
-150.0,101,404.877356
-150.0,101,405.82176
-150.0,101,405.821839
-164.0,65,409.704226
-150.0,101,410.521406
-191.0,92,413.79508
-120.0,101,419.472244
7.0,94,421.195457
-150.0,101,422.062204
-154.0,55,427.29762
-150.0,101,432.814844
-150.0,101,436.36029
-150.0,101,436.817943
-150.0,101,438.282216
-150.0,101,442.119438
-165.0,66,442.512516
-193.0,94,446.432654
-120.0,101,448.414119
-150.0,101,449.284681
-197.0,98,452.050369
-172.0,73,452.986066
-120.0,101,454.328562
-101.0,2,455.237481
-150.0,101,463.079831
-172.0,73,464.377527
-150.0,101,465.846821
-160.0,61,468.802475
-150.0,101,471.037077
-155.0,56,476.301162
-150.0,101,480.313613
-150.0,101,480.705044
-150.0,101,481.996866
-162.0,63,482.426187
-150.0,101,485.840841
